n \ Type R,U 10^3,U 10^4,WC 10^3,WC 10^4,SC 10^3,SC 10^4,ISC 10^3,ISC 10^4,ASC 10^3,ASC 10^4,SS 10^3,SS 10^4,SW 10^5
50,0,0,0,0,0.1,0.2,0.1,0.2,0.1,0.1,0.1,0.6,0
100,0,0,0,0,0.3,0.4,0.3,0.4,0.2,0.3,0.1,0.5,0
200,0,0,0.1,0.1,0.5,0.6,0.4,0.6,0.5,0.6,0.1,0.6,0
500,0,0,0.1,0.2,0.6,0.8,0.7,0.8,0.7,0.8,0.1,0.7,0.1
1000,0.1,0.1,0.1,0.3,0.8,1,0.9,1,0.7,1.2,0.1,0.7,0.2
2000,0.1,0.2,0.2,0.8,1.1,1.3,1,1.3,1,1.4,0.1,1,0.3
5000,0.3,0.3,0.6,2.6,1.8,2.3,1.8,2.1,2.2,2.8,0.1,1.1,0.6
10000,0.4,0.7,1.1,5.5,3.3,4.1,2.9,3.7,4.2,5.4,0.2,1.1,1.4

